Age,Weight,Duration,Heart_Rate,Body_Temp,Calories
42,58.0,19.0,95.0,40.7,99.0
24,74.0,17.0,88.0,40.5,67.0
52,92.0,3.0,90.0,38.3,15.0
44,76.0,28.0,109.0,41.3,182.0
54,66.0,10.0,90.0,39.6,48.0
25,86.0,28.0,106.0,40.8,165.0
35,88.0,26.0,108.0,41.1,174.0
75,77.0,25.0,105.0,40.6,165.0
27,95.0,8.0,87.0,39.4,26.0
65,98.0,28.0,112.0,40.5,251.0
42,75.0,28.0,111.0,41.0,202.0
21,83.0,9.0,94.0,39.9,34.0
28,53.0,13.0,97.0,39.9,68.0
43,89.0,16.0,100.0,40.4,94.0
52,97.0,7.0,94.0,39.5,39.0
50,93.0,23.0,100.0,40.8,146.0
27,50.0,19.0,98.0,40.4,102.0
21,61.0,21.0,92.0,40.8,94.0
51,66.0,6.0,82.0,39.7,23.0
20,60.0,12.0,103.0,40.3,68.0
35,70.0,22.0,104.0,40.7,130.0
26,58.0,13.0,92.0,40.1,60.0
30,64.0,11.0,87.0,39.7,45.0
69,86.0,7.0,89.0,39.4,38.0
52,99.0,7.0,88.0,39.6,33.0
35,59.0,10.0,89.0,39.4,44.0
57,98.0,29.0,116.0,41.1,266.0
42,92.0,2.0,87.0,38.0,8.0
64,50.0,6.0,87.0,39.4,29.0
31,93.0,13.0,94.0,39.8,59.0
38,74.0,22.0,105.0,40.3,134.0
46,64.0,3.0,94.0,38.5,15.0
37,59.0,8.0,92.0,39.7,38.0
33,101.0,1.0,80.0,38.2,3.0
23,75.0,2.0,89.0,38.0,6.0
21,62.0,25.0,105.0,40.2,147.0
25,95.0,28.0,105.0,40.8,166.0
69,78.0,12.0,91.0,40.1,60.0
67,59.0,25.0,107.0,40.6,173.0
57,60.0,14.0,95.0,40.4,76.0
46,76.0,2.0,81.0,38.0,6.0
21,56.0,18.0,107.0,40.2,111.0
20,90.0,16.0,96.0,40.1,67.0
53,95.0,4.0,92.0,38.5,21.0
29,59.0,9.0,91.0,39.7,41.0
78,72.0,1.0,72.0,38.0,3.0
48,80.0,22.0,105.0,40.8,148.0
43,54.0,15.0,87.0,39.9,67.0
62,84.0,4.0,83.0,38.9,17.0
31,66.0,24.0,101.0,40.6,133.0
69,68.0,22.0,101.0,40.5,137.0
37,58.0,12.0,88.0,39.7,53.0
79,66.0,13.0,98.0,40.0,79.0
32,63.0,4.0,82.0,38.6,14.0
54,55.0,28.0,111.0,40.7,201.0
54,89.0,11.0,95.0,40.2,62.0
26,52.0,8.0,89.0,39.8,35.0
38,77.0,25.0,103.0,40.7,146.0
64,83.0,17.0,92.0,40.5,95.0
61,87.0,29.0,108.0,40.6,230.0
34,87.0,24.0,105.0,41.2,148.0
63,113.0,26.0,109.0,40.7,227.0
65,73.0,4.0,81.0,38.7,16.0
79,94.0,23.0,100.0,40.6,178.0
35,78.0,12.0,98.0,40.2,62.0
27,73.0,25.0,103.0,40.6,131.0
35,70.0,6.0,96.0,39.4,30.0
34,56.0,25.0,110.0,40.9,168.0
42,74.0,17.0,98.0,40.2,91.0
61,76.0,21.0,99.0,40.3,121.0
44,96.0,16.0,95.0,40.4,86.0
26,71.0,4.0,82.0,39.2,8.0
24,56.0,6.0,79.0,39.6,19.0
24,67.0,21.0,100.0,40.4,112.0
76,116.0,10.0,93.0,40.0,70.0
65,77.0,26.0,116.0,40.8,237.0
20,74.0,18.0,95.0,40.3,67.0
63,96.0,3.0,74.0,38.8,9.0
59,80.0,17.0,101.0,40.2,113.0
22,79.0,21.0,95.0,40.6,82.0
23,55.0,20.0,105.0,40.2,120.0
66,49.0,18.0,104.0,40.2,121.0
43,79.0,6.0,90.0,39.3,25.0
20,58.0,5.0,87.0,38.5,20.0
59,81.0,5.0,79.0,39.0,17.0
56,80.0,17.0,90.0,40.4,82.0
45,76.0,4.0,91.0,38.4,17.0
21,102.0,3.0,82.0,38.7,7.0
75,51.0,22.0,104.0,40.6,151.0
24,91.0,6.0,84.0,39.0,16.0
38,63.0,24.0,106.0,40.5,150.0
25,66.0,11.0,103.0,40.2,62.0
41,60.0,11.0,82.0,39.8,42.0
32,85.0,11.0,87.0,39.9,37.0
59,93.0,11.0,89.0,40.0,56.0
59,80.0,6.0,89.0,39.2,29.0
28,77.0,25.0,110.0,40.9,161.0
23,80.0,22.0,100.0,40.7,104.0
38,81.0,4.0,84.0,39.3,12.0
20,71.0,22.0,104.0,40.4,124.0
20,61.0,30.0,109.0,40.8,189.0
61,91.0,8.0,89.0,39.4,41.0
21,78.0,2.0,81.0,38.3,3.0
21,50.0,2.0,82.0,38.3,7.0
44,69.0,24.0,97.0,40.7,128.0
61,79.0,4.0,86.0,38.8,18.0
24,67.0,4.0,79.0,39.2,12.0
49,58.0,15.0,100.0,39.9,88.0
71,93.0,13.0,95.0,39.9,86.0
52,58.0,16.0,84.0,40.5,68.0
32,70.0,9.0,89.0,39.7,38.0
47,81.0,17.0,102.0,40.1,98.0
42,65.0,23.0,108.0,40.9,150.0
59,93.0,8.0,93.0,39.8,46.0
37,57.0,27.0,106.0,40.8,171.0
42,66.0,20.0,105.0,40.2,124.0
25,81.0,29.0,114.0,41.1,202.0
23,67.0,11.0,94.0,40.2,51.0
29,57.0,26.0,116.0,40.9,189.0
23,78.0,17.0,110.0,40.8,106.0
70,68.0,23.0,92.0,40.7,121.0
72,68.0,3.0,76.0,38.2,11.0
56,56.0,19.0,97.0,40.5,109.0
21,58.0,4.0,69.0,38.7,8.0
47,75.0,6.0,83.0,39.8,23.0
25,80.0,22.0,93.0,40.4,83.0
32,73.0,18.0,102.0,40.2,101.0
62,67.0,12.0,99.0,40.2,71.0
57,82.0,23.0,101.0,41.0,151.0
33,92.0,15.0,98.0,40.0,78.0
21,102.0,10.0,92.0,39.8,39.0
60,87.0,13.0,95.0,40.1,67.0
50,59.0,14.0,99.0,40.3,81.0
35,67.0,4.0,81.0,38.8,9.0
58,62.0,7.0,87.0,39.3,32.0
20,79.0,10.0,92.0,39.5,34.0
30,97.0,17.0,95.0,40.6,80.0
22,91.0,9.0,92.0,39.7,34.0
77,67.0,28.0,109.0,40.7,202.0
38,72.0,5.0,81.0,39.1,12.0
61,74.0,10.0,86.0,40.1,43.0
37,61.0,10.0,89.0,39.9,45.0
39,43.0,2.0,91.0,38.5,10.0
22,88.0,10.0,83.0,40.0,23.0
51,71.0,13.0,96.0,40.4,69.0
37,83.0,2.0,84.0,38.2,7.0
55,105.0,15.0,87.0,39.8,73.0
55,63.0,9.0,93.0,39.9,47.0
36,65.0,23.0,101.0,40.2,130.0
43,96.0,26.0,110.0,40.9,197.0
21,67.0,20.0,105.0,40.7,116.0
51,58.0,26.0,112.0,40.8,187.0
66,67.0,9.0,90.0,39.7,45.0
25,93.0,23.0,94.0,40.6,97.0
20,90.0,24.0,99.0,40.5,112.0
36,61.0,28.0,113.0,41.1,196.0
23,75.0,12.0,93.0,39.6,53.0
39,53.0,6.0,85.0,39.4,25.0
20,71.0,25.0,108.0,40.8,151.0
51,85.0,23.0,100.0,40.6,143.0
35,63.0,25.0,103.0,40.9,147.0
28,80.0,12.0,91.0,40.2,44.0
39,73.0,16.0,102.0,40.5,91.0
55,84.0,9.0,89.0,39.7,42.0
