"Age","Weight","Duration","Heart_Rate","Body_Temp","Calories"
"68","94","29","105","40.8","231"
"20","60","14","94","40.3","66"
"69","79","5","88","38.7","26"
"34","71","13","100","40.5","71"
"27","58","10","81","39.8","35"
"36","50","23","96","40.7","123"
"33","56","22","95","40.5","112"
"41","85","25","100","40.7","143"
"60","94","21","97","40.4","134"
"26","51","16","90","40.2","72"
"21","56","17","100","40","92"
"66","79","11","90","40","58"
"32","54","18","93","40.4","88"
"53","85","2","82","38.1","7"
"39","62","28","104","40.8","170"
"39","82","4","82","38.6","11"
"46","67","11","89","40.2","43"
"27","65","4","85","38.6","15"
"50","86","14","94","40.2","74"
"67","93","8","77","39.2","29"
"31","50","8","84","39.5","32"
"33","60","3","80","38.7","10"
"20","59","29","100","41","155"
"29","75","10","83","39.7","24"
"33","73","7","78","39.3","12"
"42","88","3","83","38.9","10"
"62","59","29","106","41.2","195"
"38","75","2","81","38.2","5"
"20","88","16","97","40.5","69"
"25","59","24","102","40.3","136"
"24","59","18","91","40.2","80"
"42","68","22","93","40.8","107"
"22","84","29","114","41","200"
"74","59","10","93","39.6","56"
"70","59","10","88","40","50"
"26","80","21","96","40.5","100"
"44","86","25","114","40.8","200"
"61","86","1","81","38.3","4"
"68","57","13","92","40.1","70"
"61","70","20","104","40.5","127"
"63","80","25","108","40.8","197"
"54","66","20","98","40.1","113"
"54","66","3","80","38.9","11"
"47","55","16","93","40.5","82"
"33","86","8","86","39.9","26"
"24","66","24","105","40.6","141"
"24","98","20","96","40.6","92"
"48","59","2","79","38","5"
"35","93","10","83","39.7","30"
"21","71","3","78","38.5","3"
"21","73","9","90","39.6","37"
"22","62","25","105","40.6","147"
"69","69","2","80","38.1","8"
"53","101","21","106","40.7","159"
"68","58","15","100","40.3","93"
"69","65","23","113","40.4","173"
"28","101","19","95","40.6","89"
"70","89","7","82","39.3","31"
"36","64","9","84","39.6","35"
"77","80","16","98","40.6","94"
"32","63","9","99","39.7","49"
"62","77","13","84","40.4","54"
"64","56","20","97","40.4","117"
"45","79","27","104","40.6","173"
"45","61","20","97","40.7","99"
"22","71","10","93","39.8","45"
"45","69","22","113","40.6","166"
"66","69","28","111","40.9","202"
"31","83","20","101","40.9","107"
"57","68","29","109","40.7","199"
"53","93","5","90","39.1","25"
"22","67","8","77","39.5","23"
"67","92","24","108","40.7","200"
"27","64","2","76","38.2","6"
"57","83","2","79","38.1","7"
"49","68","20","99","40.6","113"
"39","63","29","108","40.7","188"
"47","72","20","96","40.3","103"
"62","101","17","103","40.3","128"
"41","89","23","99","40.7","130"
