,User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
0,14733363,1,68,190.0,94.0,29.0,105.0,40.8,231.0
1,14861698,0,20,166.0,60.0,14.0,94.0,40.3,66.0
2,11179863,1,69,179.0,79.0,5.0,88.0,38.7,26.0
3,16180408,0,34,179.0,71.0,13.0,100.0,40.5,71.0
4,17771927,0,27,154.0,58.0,10.0,81.0,39.8,35.0
5,15130815,0,36,151.0,50.0,23.0,96.0,40.7,123.0
6,19602372,0,33,158.0,56.0,22.0,95.0,40.5,112.0
7,11117088,1,41,175.0,85.0,25.0,100.0,40.7,143.0
8,12132339,1,60,186.0,94.0,21.0,97.0,40.4,134.0
9,17964668,0,26,146.0,51.0,16.0,90.0,40.2,72.0
11,13681290,0,21,157.0,56.0,17.0,100.0,40.0,92.0
12,15566424,1,66,171.0,79.0,11.0,90.0,40.0,58.0
13,12891699,0,32,157.0,54.0,18.0,93.0,40.4,88.0
14,13823829,1,53,182.0,85.0,2.0,82.0,38.1,7.0
15,17557348,0,39,156.0,62.0,28.0,104.0,40.8,170.0
16,12198133,1,39,182.0,82.0,4.0,82.0,38.6,11.0
17,15236104,1,46,169.0,67.0,11.0,89.0,40.2,43.0
18,11042324,0,27,171.0,65.0,4.0,85.0,38.6,15.0
19,16864285,1,50,188.0,86.0,14.0,94.0,40.2,74.0
20,11674347,1,67,189.0,93.0,8.0,77.0,39.2,29.0
21,19797300,0,31,148.0,50.0,8.0,84.0,39.5,32.0
22,14711095,0,33,157.0,60.0,3.0,80.0,38.7,10.0
23,14434854,0,20,165.0,59.0,29.0,100.0,41.0,155.0
25,17231597,1,29,176.0,75.0,10.0,83.0,39.7,24.0
26,10901446,1,33,173.0,73.0,7.0,78.0,39.3,12.0
27,15874362,1,42,190.0,88.0,3.0,83.0,38.9,10.0
28,15569252,0,62,159.0,59.0,29.0,106.0,41.2,195.0
29,15615743,1,38,171.0,75.0,2.0,81.0,38.2,5.0
30,13363046,1,20,183.0,88.0,16.0,97.0,40.5,69.0
31,17572853,0,25,160.0,59.0,24.0,102.0,40.3,136.0
32,17157339,0,24,165.0,59.0,18.0,91.0,40.2,80.0
33,18328111,0,42,165.0,68.0,22.0,93.0,40.8,107.0
34,19303479,1,22,182.0,84.0,29.0,114.0,41.0,200.0
35,10699201,0,74,158.0,59.0,10.0,93.0,39.6,56.0
36,15283313,0,70,154.0,59.0,10.0,88.0,40.0,50.0
37,16324247,0,26,182.0,80.0,21.0,96.0,40.5,100.0
38,14277710,1,44,184.0,86.0,25.0,114.0,40.8,200.0
39,10888188,1,61,183.0,86.0,1.0,81.0,38.3,4.0
40,13379795,0,68,157.0,57.0,13.0,92.0,40.1,70.0
41,17181524,0,61,176.0,70.0,20.0,104.0,40.5,127.0
42,15988442,1,63,179.0,80.0,25.0,108.0,40.8,197.0
43,19538533,0,54,171.0,66.0,20.0,98.0,40.1,113.0
44,14591877,0,54,169.0,66.0,3.0,80.0,38.9,11.0
